"Podjetja po: OBÈINE, MERITVE , LETO"

"SLOVENIJA"
" ";"Število podjetij"
" ";" ";"2011";169360
" ";" ";"2012";173305
" ";" ";"2013";182089
" ";" ";"2014";186433
" ";" ";"2015";191863
" ";"Število oseb, ki delajo"
" ";" ";"2011";822368
" ";" ";"2012";816742
" ";" ";"2013";817458
" ";" ";"2014";827400
" ";" ";"2015";837454
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";90789676
" ";" ";"2012";90754575
" ";" ";"2013";90625516
" ";" ";"2014";93571789
" ";" ";"2015";95298760
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";4.9
" ";" ";"2012";4.7
" ";" ";"2013";4.5
" ";" ";"2014";4.4
" ";" ";"2015";4.4
"Ajdovšèina"
" ";"Število podjetij"
" ";" ";"2011";1568
" ";" ";"2012";1590
" ";" ";"2013";1655
" ";" ";"2014";1704
" ";" ";"2015";1774
" ";"Število oseb, ki delajo"
" ";" ";"2011";6189
" ";" ";"2012";5582
" ";" ";"2013";5150
" ";" ";"2014";5215
" ";" ";"2015";5415
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";560707
" ";" ";"2012";451104
" ";" ";"2013";395043
" ";" ";"2014";423106
" ";" ";"2015";441099
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";3.9
" ";" ";"2012";3.5
" ";" ";"2013";3.1
" ";" ";"2014";3.1
" ";" ";"2015";3.1
"Ankaran"
" ";"Število podjetij"
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";-
" ";" ";"2014";-
" ";" ";"2015";302
" ";"Število oseb, ki delajo"
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";-
" ";" ";"2014";-
" ";" ";"2015";856
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";-
" ";" ";"2014";-
" ";" ";"2015";48909
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";-
" ";" ";"2014";-
" ";" ";"2015";2.8
"Apaèe"
" ";"Število podjetij"
" ";" ";"2011";173
" ";" ";"2012";166
" ";" ";"2013";179
" ";" ";"2014";176
" ";" ";"2015";183
" ";"Število oseb, ki delajo"
" ";" ";"2011";447
" ";" ";"2012";443
" ";" ";"2013";466
" ";" ";"2014";453
" ";" ";"2015";461
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";23888
" ";" ";"2012";25993
" ";" ";"2013";26230
" ";" ";"2014";23143
" ";" ";"2015";21935
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";2.6
" ";" ";"2012";2.7
" ";" ";"2013";2.6
" ";" ";"2014";2.6
" ";" ";"2015";2.5
"Beltinci"
" ";"Število podjetij"
" ";" ";"2011";444
" ";" ";"2012";444
" ";" ";"2013";444
" ";" ";"2014";466
" ";" ";"2015";484
" ";"Število oseb, ki delajo"
" ";" ";"2011";1343
" ";" ";"2012";1300
" ";" ";"2013";1309
" ";" ";"2014";1316
" ";" ";"2015";1332
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";68057
" ";" ";"2012";74427
" ";" ";"2013";73157
" ";" ";"2014";81680
" ";" ";"2015";84634
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";3.0
" ";" ";"2012";2.9
" ";" ";"2013";2.9
" ";" ";"2014";2.8
" ";" ";"2015";2.8
"Benedikt"
" ";"Število podjetij"
" ";" ";"2011";99
" ";" ";"2012";101
" ";" ";"2013";107
" ";" ";"2014";120
" ";" ";"2015";128
" ";"Število oseb, ki delajo"
" ";" ";"2011";266
" ";" ";"2012";278
" ";" ";"2013";283
" ";" ";"2014";310
" ";" ";"2015";340
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";13002
" ";" ";"2012";13597
" ";" ";"2013";15049
" ";" ";"2014";18844
" ";" ";"2015";18735
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";2.7
" ";" ";"2012";2.8
" ";" ";"2013";2.6
" ";" ";"2014";2.6
" ";" ";"2015";2.7
"Bistrica ob Sotli"
" ";"Število podjetij"
" ";" ";"2011";75
" ";" ";"2012";81
" ";" ";"2013";93
" ";" ";"2014";95
" ";" ";"2015";96
" ";"Število oseb, ki delajo"
" ";" ";"2011";175
" ";" ";"2012";177
" ";" ";"2013";191
" ";" ";"2014";193
" ";" ";"2015";227
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";7160
" ";" ";"2012";6689
" ";" ";"2013";6773
" ";" ";"2014";8484
" ";" ";"2015";7863
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";2.3
" ";" ";"2012";2.2
" ";" ";"2013";2.1
" ";" ";"2014";2.0
" ";" ";"2015";2.4
"Bled"
" ";"Število podjetij"
" ";" ";"2011";907
" ";" ";"2012";917
" ";" ";"2013";1080
" ";" ";"2014";1100
" ";" ";"2015";1144
" ";"Število oseb, ki delajo"
" ";" ";"2011";3132
" ";" ";"2012";3705
" ";" ";"2013";2686
" ";" ";"2014";2667
" ";" ";"2015";2698
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";277903
" ";" ";"2012";273544
" ";" ";"2013";205345
" ";" ";"2014";211105
" ";" ";"2015";200058
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";3.5
" ";" ";"2012";4.0
" ";" ";"2013";2.5
" ";" ";"2014";2.4
" ";" ";"2015";2.4
"Bloke"
" ";"Število podjetij"
" ";" ";"2011";110
" ";" ";"2012";114
" ";" ";"2013";132
" ";" ";"2014";132
" ";" ";"2015";134
" ";"Število oseb, ki delajo"
" ";" ";"2011";376
" ";" ";"2012";299
" ";" ";"2013";234
" ";" ";"2014";227
" ";" ";"2015";229
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";20272
" ";" ";"2012";13992
" ";" ";"2013";9206
" ";" ";"2014";15273
" ";" ";"2015";12927
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";3.4
" ";" ";"2012";2.6
" ";" ";"2013";1.8
" ";" ";"2014";1.7
" ";" ";"2015";1.7
"Bohinj"
" ";"Število podjetij"
" ";" ";"2011";486
" ";" ";"2012";491
" ";" ";"2013";663
" ";" ";"2014";683
" ";" ";"2015";703
" ";"Število oseb, ki delajo"
" ";" ";"2011";1294
" ";" ";"2012";1190
" ";" ";"2013";1332
" ";" ";"2014";1399
" ";" ";"2015";1445
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";61377
" ";" ";"2012";57125
" ";" ";"2013";59950
" ";" ";"2014";64539
" ";" ";"2015";69350
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";2.7
" ";" ";"2012";2.4
" ";" ";"2013";2.0
" ";" ";"2014";2.0
" ";" ";"2015";2.1
"Borovnica"
" ";"Število podjetij"
" ";" ";"2011";243
" ";" ";"2012";234
" ";" ";"2013";247
" ";" ";"2014";263
" ";" ";"2015";272
" ";"Število oseb, ki delajo"
" ";" ";"2011";668
" ";" ";"2012";681
" ";" ";"2013";671
" ";" ";"2014";621
" ";" ";"2015";676
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";58201
" ";" ";"2012";55068
" ";" ";"2013";56809
" ";" ";"2014";64671
" ";" ";"2015";61741
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";2.7
" ";" ";"2012";2.9
" ";" ";"2013";2.7
" ";" ";"2014";2.4
" ";" ";"2015";2.5
"Bovec"
" ";"Število podjetij"
" ";" ";"2011";343
" ";" ";"2012";346
" ";" ";"2013";403
" ";" ";"2014";381
" ";" ";"2015";411
" ";"Število oseb, ki delajo"
" ";" ";"2011";1020
" ";" ";"2012";1058
" ";" ";"2013";1075
" ";" ";"2014";1024
" ";" ";"2015";1084
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";78326
" ";" ";"2012";102909
" ";" ";"2013";99835
" ";" ";"2014";93670
" ";" ";"2015";103163
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";3.0
" ";" ";"2012";3.1
" ";" ";"2013";2.7
" ";" ";"2014";2.7
" ";" ";"2015";2.6
"Braslovèe"
" ";"Število podjetij"
" ";" ";"2011";354
" ";" ";"2012";371
" ";" ";"2013";402
" ";" ";"2014";419
" ";" ";"2015";438
" ";"Število oseb, ki delajo"
" ";" ";"2011";789
" ";" ";"2012";821
" ";" ";"2013";865
" ";" ";"2014";883
" ";" ";"2015";928
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";60657
" ";" ";"2012";66555
" ";" ";"2013";66671
" ";" ";"2014";66769
" ";" ";"2015";70742
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";2.2
" ";" ";"2012";2.2
" ";" ";"2013";2.2
" ";" ";"2014";2.1
" ";" ";"2015";2.1
"Brda"
" ";"Število podjetij"
" ";" ";"2011";351
" ";" ";"2012";372
" ";" ";"2013";406
" ";" ";"2014";408
" ";" ";"2015";417
" ";"Število oseb, ki delajo"
" ";" ";"2011";736
" ";" ";"2012";742
" ";" ";"2013";747
" ";" ";"2014";742
" ";" ";"2015";795
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";56773
" ";" ";"2012";61300
" ";" ";"2013";63989
" ";" ";"2014";70829
" ";" ";"2015";78423
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";2.1
" ";" ";"2012";2.0
" ";" ";"2013";1.8
" ";" ";"2014";1.8
" ";" ";"2015";1.9
"Brezovica"
" ";"Število podjetij"
" ";" ";"2011";957
" ";" ";"2012";1014
" ";" ";"2013";1088
" ";" ";"2014";1141
" ";" ";"2015";1225
" ";"Število oseb, ki delajo"
" ";" ";"2011";2467
" ";" ";"2012";2504
" ";" ";"2013";2536
" ";" ";"2014";2584
" ";" ";"2015";2690
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";179695
" ";" ";"2012";197705
" ";" ";"2013";199683
" ";" ";"2014";218967
" ";" ";"2015";238699
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";2.6
" ";" ";"2012";2.5
" ";" ";"2013";2.3
" ";" ";"2014";2.3
" ";" ";"2015";2.2
"Brežice"
" ";"Število podjetij"
" ";" ";"2011";1690
" ";" ";"2012";1730
" ";" ";"2013";1839
" ";" ";"2014";1912
" ";" ";"2015";1921
" ";"Število oseb, ki delajo"
" ";" ";"2011";5503
" ";" ";"2012";5542
" ";" ";"2013";5531
" ";" ";"2014";5583
" ";" ";"2015";5657
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";400378
" ";" ";"2012";404821
" ";" ";"2013";421764
" ";" ";"2014";420875
" ";" ";"2015";450690
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";3.3
" ";" ";"2012";3.2
" ";" ";"2013";3.0
" ";" ";"2014";2.9
" ";" ";"2015";2.9
"Cankova"
" ";"Število podjetij"
" ";" ";"2011";111
" ";" ";"2012";118
" ";" ";"2013";131
" ";" ";"2014";133
" ";" ";"2015";136
" ";"Število oseb, ki delajo"
" ";" ";"2011";284
" ";" ";"2012";265
" ";" ";"2013";257
" ";" ";"2014";257
" ";" ";"2015";277
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";15442
" ";" ";"2012";13359
" ";" ";"2013";12596
" ";" ";"2014";12099
" ";" ";"2015";12093
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";2.6
" ";" ";"2012";2.2
" ";" ";"2013";2.0
" ";" ";"2014";1.9
" ";" ";"2015";2.0
"Celje"
" ";"Število podjetij"
" ";" ";"2011";4640
" ";" ";"2012";4748
" ";" ";"2013";4979
" ";" ";"2014";5002
" ";" ";"2015";5127
" ";"Število oseb, ki delajo"
" ";" ";"2011";30497
" ";" ";"2012";29989
" ";" ";"2013";28525
" ";" ";"2014";28235
" ";" ";"2015";28271
" ";"Prihodek (1000 EUR)"
" ";" ";"2011";3495404
" ";" ";"2012";3291321
" ";" ";"2013";3179620
" ";" ";"2014";3215114
" ";" ";"2015";3262055
" ";"Število oseb, ki delajo na podjetje v obèini"
" ";" ";"2011";6.6
